Lake,CollectionDate,TP,TN,NH4,NO3_NO2,SRP,DIC,DOC,DSi,NH4_detect,NO3_NO2_detect,DIN,Chla_ugL
etwin,6/27/2022,18.78089211,0.375665765,0.01,0.0037,-0.3536,3.7712,4.2458,8.7971,0.01,0.0025,0.0125,2.043100812
wtwin,6/27/2022,14.39133113,0.392688697,0.0124,0,0.2444,2.4915,5.3333,2.8234,0.0124,0.0025,0.0149,0.304999412
burnt,6/28/2022,22.42362163,0.511439786,0.013,0,1.6398,2.5455,5.8182,9.1019,0.013,0.0025,0.0155,2.889071874
flame,6/28/2022,28.98389946,0.543672787,0.0073,0.0015,1.2411,1.4074,7.794,5.4017,0.004,0.0025,0.0065,1.7064463
smoke,6/28/2022,18.60645323,0.416858172,0.0099,0,1.4404,4.9829,5.0838,6.8835,0.0099,0.0025,0.0124,0.845477003
dunnigan,6/29/2022,9.189443524,0.484455752,0.014,0.0024,1.6398,0.8925,6.0805,0.1647,0.014,0.0025,0.0165,NA
elbow,6/29/2022,15.18897849,0.436345937,0.0183,0.0035,1.6398,2.4472,7.1958,6.4728,0.0183,0.0025,0.0208,1.540783437
finger,6/29/2022,16.16602932,0.482748957,0.0172,0.0028,1.4404,2.5662,7.6113,5.5033,0.0172,0.0025,0.0197,0.394471239
dunnigan,7/25/2022,9.474087149,0.565459545,0.0109,-3.00E-04,-0.3448,1.0368,9.6707,0.1001,0.0109,0.0025,0.0134,0.746853311
elbow,7/25/2022,16.17854066,0.461718081,0.0047,-7.00E-04,1.4225,2.6985,12.2896,5.7792,0.004,0.0025,0.0065,4.39628279
finger,7/25/2022,16.43083625,0.504912283,0.0074,-2.00E-04,1.2284,3.0934,2.8924,3.8291,0.004,0.0025,0.0065,4.880367016
burnt,7/26/2022,27.68371522,0.573310785,0.0038,0,0.9592,2.7246,5.2378,9.9188,0.004,0.0025,0.0065,8.938618986
flame,7/26/2022,19.08491979,0.513255001,0.0073,3.00E-04,1.6966,NA,12.8395,2.5975,0.004,0.0025,0.0065,9.06848606
smoke,7/26/2022,18.58025518,0.390901642,0.0029,0.0017,0.5825,5.2038,8.2367,4.2397,0.004,0.0025,0.0065,7.859404776
etwin,7/27/2022,23.45694304,0.471537552,0.0061,-4.00E-04,3.8301,4.3704,6.2473,10.1241,0.004,0.0025,0.0065,6.724103047
wtwin,7/27/2022,10.71317809,0.359182875,0.0061,0.01,0.2903,2.8474,8.0354,2.4607,0.004,0.01,0.014,1.930619927
dunnigan,8/30/2022,10.15112569,0.596720342,0.0164,0.001,0.0861,0.9993,0.9596,-0.0368,0.0164,0.0025,0.0189,3.31405717
etwin,8/30/2022,25.41692423,0.541272208,0.0178,0.0018,0.9583,4.4216,6.1717,9.953,0.0178,0.0025,0.0203,10.73981884
wtwin,8/30/2022,13.14217555,0.398514226,0.0074,-2.00E-04,-0.0351,2.8174,7.901,2.2896,0.004,0.0025,0.0065,3.652840842
burnt,8/31/2022,36.58395711,0.938679461,0.0241,0.004,2.7032,2.8105,8.9001,12.0057,0.0241,0.0025,0.0266,7.294012469
flame,8/31/2022,17.29994305,0.523429804,0.0076,-5.00E-04,0.8891,1.7677,11.9089,1.4685,0.004,0.0025,0.0065,9.465992236
smoke,8/31/2022,24.30407432,0.779771246,0.0087,0.0013,1.0752,5.3385,8.5235,7.9687,0.0087,0.0025,0.0112,15.78694271
elbow,9/1/2022,20.79924285,0.534185532,0.0145,0.0033,1.7615,2.8275,10.704,5.4713,0.0145,0.0025,0.017,7.760781085
finger,9/1/2022,22.68650299,0.639324015,0.0099,1.00E-04,1.1851,3.1523,11.6641,2.4607,0.0099,0.0025,0.0124,10.44244207
dunnigan,9/26/2022,6.417311466,0.510040756,0.0087,-8.00E-04,1.0833,0.7323,9.9404,0.0385,0.0087,0.0025,0.0112,NA
elbow,9/26/2022,19.51404905,0.556649503,0.0177,0.0066,1.9394,2.8721,11.8864,5.7803,0.0177,0.0066,0.0243,4.78324903
finger,9/26/2022,17.1987473,0.659266537,0.02,0.0051,1.2642,3.2056,12.8964,3.4655,0.02,0.0051,0.0251,3.77630867
etwin,9/27/2022,21.92456756,0.461856632,0.017,-5.00E-04,1.6628,4.5505,6.8659,11.2758,0.017,0.0025,0.0195,4.079331843
wtwin,9/27/2022,10.68181442,0.414375886,0.0234,0.0023,1.2037,3.0551,8.2537,2.2547,0.0234,0.0025,0.0259,10.85681898
burnt,9/28/2022,27.4466228,0.807489699,0.0797,0.0274,2.1946,2.9799,9.2162,13.9025,0.0797,0.0274,0.1071,0.300513665
flame,9/28/2022,12.01078033,0.535256786,0.0314,0.0022,0.8103,2.1447,12.8344,2.4887,0.0314,0.0025,0.0339,4.850252911
smoke,9/28/2022,27.06028188,0.754870313,0.0255,0.0084,0.7517,5.5311,9.0856,10.3606,0.0255,0.0084,0.0339,12.90954005
etwin,10/24/2022,18.2755868,0.43460831,0.0052,-4.00E-04,2.901,4.4917,NA,11.2928,0.004,0.0025,0.0065,12.48659822
wtwin,10/24/2022,9.226709493,0.399903106,0.0038,0.0016,0.2345,2.9298,NA,2.1974,0.004,0.0025,0.0065,6.686460416
dunnigan,10/25/2022,6.169697929,0.615549475,0.0068,-3.00E-04,0.3409,0.9639,NA,-0.0828,0.004,0.0025,0.0065,1.659663569
elbow,10/25/2022,13.32071016,0.523159271,0.0302,0.0288,1.2569,2.9846,NA,6.2706,0.0302,0.0288,0.059,1.995435831
finger,10/25/2022,16.86609957,0.596532167,0.0252,0.0027,1.0067,3.5038,NA,3.0918,0.0252,0.0025,0.0277,4.617997883
burnt,10/26/2022,22.31953169,0.57660387,0.0267,0.1342,2.0462,2.5626,NA,14.5724,0.0267,0.1342,0.1609,2.278884837
flame,10/26/2022,14.41963781,0.508374733,0.0226,0.0129,0.0021,2.003,NA,2.6047,0.0226,0.0129,0.0355,2.727961416
